symbol,name,price
NNVDA.VI,NVIDIA Corporation,155.10
AAAPL.VI,Apple Inc.,216.35
GGOOC.VI,Alphabet Inc.,258.00
GGOOA.VI,Alphabet Inc.,257.80
MMSFT.VI,Microsoft Corporation,338.85
AAMZN.VI,"Amazon.com, Inc.",168.62
TTSFA.VI,Taiwan Semiconductor Manufacturing Company Limited,313.00
MMETA.VI,"Meta Platforms, Inc.",537.20
TTSLA.VI,"Tesla, Inc.",351.60
BBROA.VI,Broadcom Inc.,275.10
BBRKA.VI,Berkshire Hathaway Inc.,"636,000.00"
BBRKB.VI,Berkshire Hathaway Inc.,420.10
WWMT.VI,Walmart Inc.,112.86
JJPM.VI,JPMorgan Chase & Co.,257.20
LLLYC.VI,Eli Lilly and Company,887.80
SSSU.VI,"Samsung Electronics Co., Ltd.","2,660.00"
SSSUN.VI,"Samsung Electronics Co., Ltd.","1,884.00"
XXOM.VI,Exxon Mobil Corporation,126.44
NNNN1.VI,Tencent Holdings Limited,58.00
VVISA.VI,Visa Inc.,266.90
NNNND.VI,Tencent Holdings Limited,57.53
JJNJ.VI,Johnson & Johnson,205.70
AASML.VI,ASML Holding N.V.,"1,187.00"
AASMN.VI,ASML Holding N.V.,"1,185.00"
BBOAC.VI,Bank of America Corporation,44.51
MMU.VI,"Micron Technology, Inc.",346.60
MMAST.VI,Mastercard Incorporated,437.05
OORCL.VI,Oracle Corporation,134.28
CCOST.VI,Costco Wholesale Corporation,863.50
AABBV.VI,AbbVie Inc.,195.60
HHD.VI,"The Home Depot, Inc.",331.15
RROGH.VI,Roche Holding AG,407.60
AAHLA.VI,Alibaba Group Holding Limited,132.60
PPG.VI,The Procter & Gamble Company,135.36
RROCH.VI,Roche Holding AG,394.90
CCAT.VI,Caterpillar Inc.,656.00
IICK.VI,Industrial and Commercial Bank of China Limited,0.69
CCVX.VI,Chevron Corporation,154.80
KKO.VI,The Coca-Cola Company,66.45
AAMD.VI,"Advanced Micro Devices, Inc.",175.10
GGS.VI,"The Goldman Sachs Group, Inc.",765.80
GGE.VI,General Electric Company,266.00
NNFLX.VI,"Netflix, Inc.",64.64
TTOM.VI,Toyota Motor Corporation,20.24
PPLTR.VI,Palantir Technologies Inc.,110.16
MMC.VI,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",520.10
CCSCO.VI,"Cisco Systems, Inc.",64.94
MMRK.VI,"Merck & Co., Inc.",102.20
LLRC2.VI,LAM RESEARCH CORP,202.00
MMWD.VI,Morgan Stanley,145.32
PPMOR.VI,Philip Morris International Inc.,158.50
PPECN.VI,PetroChina Company Limited,1.00
AAMAT.VI,"Applied Materials, Inc.",300.05
EEK7.VI,Agricultural Bank of China Limited,0.59
CCNCB.VI,China Construction Bank Corporation,0.87
CCITI.VI,Citigroup Inc.,93.60
WWFC.VI,Wells Fargo & Company,73.17
UUNH.VI,UnitedHealth Group Incorporated,247.80
RRMS.VI,Hermès International Société en commandite par actions,"2,086.00"
TTMUS.VI,"T-Mobile US, Inc.",186.28
IIBM.VI,International Business Machines Corporation,222.60
OOR.VI,L'Oréal S.A.,385.15
BBOCN.VI,Bank of China Limited,0.50
AAXP.VI,American Express Company,287.95
SSAP.VI,SAP SE,170.06
MMCD.VI,McDonald's Corporation,276.95
IINTC.VI,Intel Corporation,39.01
PPEPS.VI,"PepsiCo, Inc.",139.76
LLIN.VI,Linde plc,406.60
SSIE.VI,Siemens Aktiengesellschaft,236.25
NNNO2.VI,Novo Nordisk A/S,41.12
RRLI.VI,Reliance Industries Limited,53.60
IITX.VI,"Industria de Diseño Textil, S.A.",56.46
VVZ.VI,Verizon Communications Inc.,41.32
TTXN.VI,Texas Instruments Incorporated,191.34
AATT.VI,AT&T Inc.,24.16
AAMGN.VI,Amgen Inc.,310.65
AABT.VI,Abbott Laboratories,95.23
DDTE.VI,Deutsche Telekom AG,32.97
NNEE.VI,"NextEra Energy, Inc.",79.09
KKLAC.VI,KLA Corporation,"1,231.60"
GGILD.VI,"Gilead Sciences, Inc.",130.92
BBA.VI,The Boeing Company,205.30
UUCG.VI,UniCredit S.p.A.,72.23
TTMOF.VI,Thermo Fisher Scientific Inc.,426.15
DDIS.VI,The Walt Disney Company,88.75
AAIR.VI,Airbus SE,196.16
AAPH.VI,Amphenol Corporation,125.04
CCRM.VI,"Salesforce, Inc.",160.44
SSAN.VI,"Banco Santander, S.A.",10.31
PPZX.VI,"Ping An Insurance (Group) Company of China, Ltd.",7.62
SSFT.VI,SoftBank Group Corp.,25.77
IISRG.VI,"Intuitive Surgical, Inc.",410.75
LLISP.VI,Chocoladefabriken Lindt & Sprüngli AG,"13,426.00"
TTJXC.VI,"The TJX Companies, Inc.",130.48
SSU.VI,Schneider Electric S.E.,256.75
SSCHW.VI,The Charles Schwab Corporation,78.97
AALV.VI,Allianz SE,371.30
AADI.VI,"Analog Devices, Inc.",283.75
EENR.VI,Siemens Energy AG,164.25
SSAF.VI,Safran SA,333.30
DDEER.VI,Deere & Company,507.70
FFP.VI,TotalEnergies SE,64.33
HHON.VI,Honeywell International Inc.,202.60
LLOWE.VI,"Lowe's Companies, Inc.",243.90
IIBE.VI,"Iberdrola, S.A.",20.02
PPFE.VI,Pfizer Inc.,23.28
UUNPC.VI,Union Pacific Corporation,220.70
AABIN.VI,Anheuser-Busch InBev SA/NV,66.54
LLMT.VI,Lockheed Martin Corporation,549.50
DDHRC.VI,Danaher Corporation,179.70
QQCOM.VI,QUALCOMM Incorporated,118.04
UUBER.VI,"Uber Technologies, Inc.",59.37
SSON1.VI,Sony Group Corporation,20.00
SSYK.VI,Stryker Corporation,308.50
EEI.VI,EssilorLuxottica Société anonyme,251.30
CCOPH.VI,ConocoPhillips,94.56
NNEWM.VI,Newmont Corporation,103.96
BBOOK.VI,Booking Holdings Inc.,"3,530.00"
PPANW.VI,"Palo Alto Networks, Inc.",141.90
BBNP.VI,BNP Paribas SA,90.89
CCOFI.VI,Capital One Financial Corporation,176.00
BBBVA.VI,"Banco Bilbao Vizcaya Argentaria, S.A.",19.42
MMDT.VI,Medtronic plc,85.12
PPRLD.VI,"Prologis, Inc.",117.48
PPH.VI,Parker-Hannifin Corporation,850.00
VVRTX.VI,Vertex Pharmaceuticals Incorporated,412.55
SSPGI.VI,S&P Global Inc.,348.75
BBMYS.VI,Bristol-Myers Squibb Company,51.31
IISP.VI,Intesa Sanpaolo S.p.A.,5.69
MMITT.VI,Mitsubishi Corporation,27.16
AAI.VI,L'Air Liquide S.A.,170.08
SSNOW.VI,"ServiceNow, Inc.",92.00
GGLW.VI,Corning Incorporated,112.64
CCMCS.VI,Comcast Corporation,26.68
BBY6.VI,BYD Company Limited,10.47
PPRX.VI,Prosus N.V.,42.85
AALTR.VI,"Altria Group, Inc.",56.45
IINTU.VI,Intuit Inc.,338.45
SSANO.VI,Sanofi,77.79
BBSXC.VI,Boston Scientific Corporation,63.20
AADBE.VI,Adobe Inc.,223.10
CCMEG.VI,CME Group Inc.,256.80
EENEL.VI,Enel SpA,9.05
SSBUX.VI,Starbucks Corporation,79.22
CCDI.VI,Christian Dior SE,496.80
SSOUT.VI,The Southern Company,79.40
UUPSI.VI,"United Parcel Service, Inc.",100.76
HHWM.VI,Howmet Aerospace Inc.,212.90
NNOCO.VI,Northrop Grumman Corporation,594.40
MMELI.VI,"MercadoLibre, Inc.","1,684.80"
WWDC.VI,Western Digital Corporation,241.50
DDUKE.VI,Duke Energy Corporation,109.08
CCVS.VI,CVS Health Corporation,66.45
IIOC.VI,ITOCHU Corporation,11.90
SSPOT.VI,Spotify Technology S.A.,388.55
WWM.VI,"Waste Management, Inc.",197.76
EEQIX.VI,"Equinix, Inc.",807.60
GGEDY.VI,General Dynamics Corporation,293.05
CCS.VI,AXA SA,37.83
MMAR.VI,"Marriott International, Inc.",298.15
PPNCF.VI,"The PNC Financial Services Group, Inc.",195.00
NNKE.VI,"NIKE, Inc.",53.23
SSTXH.VI,Seagate Technology Holdings plc,358.40
SSHWW.VI,The Sherwin-Williams Company,311.85
MMUV.VI,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,533.80
FFCX.VI,Freeport-McMoRan Inc.,53.17
DDG.VI,Vinci SA,136.55
MMMM.VI,3M Company,144.66
AAMTG.VI,American Tower Corporation,162.62
UUSBC.VI,U.S. Bancorp,48.74
FFDX.VI,FedEx Corporation,317.75
RRHM.VI,Rheinmetall AG,"1,627.00"
WWMB.VI,"The Williams Companies, Inc.",61.13
IITW.VI,Illinois Tool Works Inc.,253.30
IICEI.VI,"Intercontinental Exchange, Inc.",128.20
AADP.VI,"Automatic Data Processing, Inc.",180.36
EECL.VI,Ecolab Inc.,253.40
RREGN.VI,"Regeneron Pharmaceuticals, Inc.",677.80
CCABK.VI,"CaixaBank, S.A.",10.16
MMMCO.VI,"Marsh & McLennan Companies, Inc.",146.95
CCMI.VI,Cummins Inc.,508.20
IINGA.VI,ING Groep N.V.,24.24
EEMR.VI,Emerson Electric Co.,124.84
SSYNP.VI,"Synopsys, Inc.",366.20
CCDNS.VI,"Cadence Design Systems, Inc.",251.55
OORLY.VI,"O'Reilly Automotive, Inc.",81.86
NNITT.VI,"NTT, Inc.",0.84
BBONY.VI,The Bank of New York Mellon Corporation,99.69
MMDLZ.VI,"Mondelez International, Inc.",52.67
MMNST.VI,Monster Beverage Corporation,69.00
DDELL.VI,Dell Technologies Inc.,99.57
MMOSI.VI,"Motorola Solutions, Inc.",391.00
CCOLG.VI,Colgate-Palmolive Company,81.38
CCTAS.VI,Cintas Corporation,163.55
NNTES.VI,"NetEase, Inc.",102.00
CCIGN.VI,The Cigna Group,246.80
MMOCO.VI,Moody's Corporation,363.00
EELV.VI,"Elevance Health, Inc.",293.00
CCSX.VI,CSX Corporation,34.66
EENGI.VI,Engie SA,26.11
GGMOT.VI,General Motors Company,68.54
HHLTW.VI,Hilton Worldwide Holdings Inc.,266.20
SSPGR.VI,"Simon Property Group, Inc.",166.20
DDBK.VI,Deutsche Bank Aktiengesellschaft,30.03
AABNB.VI,"Airbnb, Inc.",103.20
KKMI.VI,"Kinder Morgan, Inc.",27.44
NNSCO.VI,Norfolk Southern Corporation,268.00
AAEPC.VI,"American Electric Power Company, Inc.",110.00
AABC.VI,"Cencora, Inc.",305.40
WWBDI.VI,"Warner Bros. Discovery, Inc.",23.75
BBMWG.VI,Bayerische Motoren Werke Aktiengesellschaft,88.90
JJAT.VI,Japan Tobacco Inc.,32.91
DDHL.VI,Deutsche Post AG,49.05
RRACE.VI,Ferrari N.V.,321.20
BBDX.VI,"Becton, Dickinson and Company",148.90
PPCAR.VI,PACCAR Inc,107.36
MMRVL.VI,"Marvell Technology, Inc.",66.51
EEOGR.VI,"EOG Resources, Inc.",102.98
IIFX.VI,Infineon Technologies AG,42.91
TTRV.VI,"The Travelers Companies, Inc.",249.60
TTFC.VI,Truist Financial Corporation,43.88
GGLE.VI,Société Générale Société anonyme,68.96
LLHXT.VI,"L3Harris Technologies, Inc.",292.10
MMRCK.VI,Merck KGaA,126.15
PPSXC.VI,Phillips 66,134.50
BBMW.VI,Bayerische Motoren Werke Aktiengesellschaft,89.38
NNTO.VI,"Nintendo Co., Ltd.",46.81
EENI.VI,Eni S.p.A.,18.21
AAZO.VI,"AutoZone, Inc.","3,267.00"
RROST.VI,"Ross Stores, Inc.",166.18
SSNWF.VI,Snowflake Inc.,155.74
AAPCD.VI,"Air Products and Chemicals, Inc.",237.50
AAGEN.VI,Assicurazioni Generali S.p.A.,35.23
VVLO.VI,Valero Energy Corporation,169.74
UUCB.VI,UCB SA,276.10
VVOW.VI,Volkswagen AG,102.65
SSREN.VI,Sempra,80.04
DDSV.VI,DSV A/S,220.00
MMBG.VI,Mercedes-Benz Group AG,57.98
NNXPI.VI,NXP Semiconductors N.V.,206.00
TTHAL.VI,Thales S.A.,252.10
VVOWI.VI,Volkswagen AG,103.20
AACA.VI,Crédit Agricole S.A.,17.99
BBKR.VI,Baker Hughes Company,51.75
MMPC.VI,Marathon Petroleum Corporation,173.60
RREAL.VI,Realty Income Corporation,55.28
IIOY.VI,Infosys Limited,12.50
AAFL.VI,Aflac Incorporated,97.14
EEOAN.VI,E.ON SE,18.55
TTKD.VI,Takeda Pharmaceutical Company Limited,30.29
DDOEN.VI,"Dominion Energy, Inc.",55.99
ZZOTS.VI,Zoetis Inc.,107.30
CCARG.VI,Carrier Global Corporation,55.36
BBN.VI,Danone S.A.,72.52
FFORD.VI,Ford Motor Company,11.54
OOKE.VI,"ONEOK, Inc.",73.23
FFAST.VI,Fastenal Company,39.60
OORA.VI,Orange S.A.,17.25
GGWW.VI,"W.W. Grainger, Inc.",959.00
AALLS.VI,The Allstate Corporation,175.40
SSHL.VI,Siemens Healthineers AG,40.84
KKBC.VI,KBC Group NV,114.80
BBAS.VI,BASF SE,50.78
AAME.VI,"AMETEK, Inc.",194.48
BBAYN.VI,Bayer Aktiengesellschaft,45.71
SSGO.VI,Compagnie de Saint-Gobain S.A.,89.44
TTGTC.VI,Target Corporation,97.28
AARGX.VI,argenx SE,693.40
