symbol,name,price
NNVDC34.SA,NVIDIA Corporation,19.95
AAAPL34.SA,Apple Inc.,66.81
GGOGL34.SA,Alphabet Inc.,132.93
GGOGL35.SA,Alphabet Inc.,132.82
MMSFT34.SA,Microsoft Corporation,87.10
AAMZO34.SA,"Amazon.com, Inc.",52.02
TTSMC34.SA,Taiwan Semiconductor Manufacturing Company Limited,239.20
MM1TA34.SA,"Meta Platforms, Inc.",119.14
TTSLA34.SA,"Tesla, Inc.",67.80
AAVGO34.SA,Broadcom Inc.,24.35
BBERK34.SA,Berkshire Hathaway Inc.,130.49
WWALM34.SA,Walmart Inc.,43.61
LLILY34.SA,Eli Lilly and Company,181.30
AA1ZN34.SA,AstraZeneca PLC,179.53
EEXXO34.SA,Exxon Mobil Corporation,97.30
VVISA34.SA,Visa Inc.,82.35
JJNJB34.SA,Johnson & Johnson,84.49
AASML34.SA,ASML Holding N.V.,135.36
MMSCD34.SA,Mastercard Incorporated,87.51
MMUTC34.SA,"Micron Technology, Inc.",359.00
OORCL34.SA,Oracle Corporation,140.15
CCOWC34.SA,Costco Wholesale Corporation,130.21
AABBV34.SA,AbbVie Inc.,74.24
HHOME34.SA,"The Home Depot, Inc.",73.22
BBABA34.SA,Alibaba Group Holding Limited,28.92
CCATP34.SA,Caterpillar Inc.,254.51
PPGCO34.SA,The Procter & Gamble Company,58.70
CCHVX34.SA,Chevron Corporation,96.06
AA1MD34.SA,"Advanced Micro Devices, Inc.",135.20
GGEOO34.SA,General Electric Company,"1,650.00"
CCOCA34.SA,The Coca-Cola Company,67.99
NNFLX34.SA,"Netflix, Inc.",8.06
TTMCO34.SA,Toyota Motor Corporation,80.89
PP2LT34.SA,Palantir Technologies Inc.,234.27
NN1VS34.SA,Novartis AG,85.10
CCSCO34.SA,"Cisco Systems, Inc.",80.30
MMRCK34.SA,"Merck & Co., Inc.",79.48
LL1RC34.SA,Lam Research Corporation,27.87
PPHMO34.SA,Philip Morris International Inc.,491.47
HH1SB34.SA,HSBC Holdings plc,111.09
AA1MT34.SA,"Applied Materials, Inc.",184.79
WWFCO34.SA,Wells Fargo & Company,113.81
RRYTT34.SA,RTX Corporation,173.51
UUNHH34.SA,UnitedHealth Group Incorporated,21.76
TT1MU34.SA,"T-Mobile US, Inc.",570.15
IIBMB34.SA,International Business Machines Corporation,"1,372.25"
MMCDC34.SA,McDonald's Corporation,87.80
SSAPP34.SA,SAP SE,"1,072.00"
AAXPB34.SA,American Express Company,176.75
IITLC34.SA,Intel Corporation,40.48
PPEPB34.SA,"PepsiCo, Inc.",57.83
MM1UF34.SA,"Mitsubishi UFJ Financial Group, Inc.",102.76
NN1VO34.SA,Novo Nordisk A/S,32.22
GG2EV34.SA,GE VERNOVA  DRN,210.21
JJPMC34.SA,JPMorgan Chase & Co.,158.93
TTEXA34.SA,Texas Instruments Incorporated,78.66
VVERZ34.SA,Verizon Communications Inc.,42.55
AABTT34.SA,Abbott Laboratories,48.85
AATTB34.SA,AT&T Inc.,49.70
AAMGN34.SA,Amgen Inc.,68.77
RRIOT34.SA,Rio Tinto Group,517.00
NNEXT34.SA,"NextEra Energy, Inc.",122.40
BBOEI34.SA,The Boeing Company,"1,268.75"
TTMOS34.SA,Thermo Fisher Scientific Inc.,55.57
KK1LA34.SA,KLA Corporation,"1,870.00"
GGILD34.SA,"Gilead Sciences, Inc.",396.35
DDISB34.SA,The Walt Disney Company,36.75
SSSFO34.SA,"Salesforce, Inc.",44.81
AA1PH34.SA,Amphenol Corporation,381.51
AA1NE34.SA,"Arista Networks, Inc.",183.00
BBCSA34.SA,"Banco Santander, S.A.",61.79
AA1DI34.SA,"Analog Devices, Inc.",883.48
II1SR34.SA,"Intuitive Surgical, Inc.",125.00
SSCHW34.SA,The Charles Schwab Corporation,60.90
DDEEC34.SA,Deere & Company,105.89
HH1DB34.SA,HDFC Bank Limited,34.02
BBLAK34.SA,"BlackRock, Inc.",84.25
UULEV34.SA,Unilever PLC,387.60
PPFIZ34.SA,Pfizer Inc.,36.01
